ts_utc,close_time,label,tf,event,direction,price,box_top,box_bottom,box_id,confluence
2026-07-20T09:46:10+00:00,1784534399999,BNB,1h,long_created,long,565.29,571.64,568.7,L1784516399999,
2026-07-20T09:46:10+00:00,1784534399999,XRP,1h,long_created,long,1.0882,1.1036,1.0962,L1784516399999,
2026-07-20T09:46:11+00:00,1784534400000,Gold,4h,short_created,short,4022.57,4018.22,3995.12,S1784505600000,
2026-07-20T09:46:12+00:00,1784538000000,Gold,1h,short_created,short,4024.23,4017.49,4009.1,S1784530800000,
2026-07-20T09:46:12+00:00,1784538000000,Take-Two,1h,short_created,short,237.79,237.68,236.67,S1784530800000,
2026-07-20T12:04:38+00:00,1784548799999,ADA,4h,long_created,long,0.1655,0.167,0.1647,L1784505599999,
2026-07-20T12:04:39+00:00,1784548800000,Silber,1h,short_created,short,57.17,57.07,56.9,S1784545200000,
2026-07-20T12:04:41+00:00,1784541599999,XLM,1h,long_created,long,0.189,0.1863,0.1849,L1784537999999,
2026-07-20T12:04:41+00:00,1784541599999,XLM,1h,long_entry,long,0.189,0.1863,0.1849,L1784537999999,
2026-07-20T12:04:42+00:00,1784548800000,Google,1h,short_created,short,349.07,348.78,348.26,S1784545200000,
2026-07-20T14:28:07+00:00,1784552399999,ETH,1h,short_created,short,1862.68,1868.53,1854.31,S1784537999999,
2026-07-20T14:28:08+00:00,1784555999999,SUI,1h,short_created,short,0.7514,0.7564,0.7509,S1784552399999,
2026-07-20T14:28:09+00:00,1784556000000,Amazon,1h,short_created,short,248.65,248.46,247.56,S1784552400000,8h
2026-07-20T14:28:10+00:00,1784556000000,Take-Two,1h,long_created,long,238.01,238.12,237.62,L1784541600000,
2026-07-20T14:28:11+00:00,1784552400000,Monero,1h,short_created,short,332.11,333.68,332.2,S1784538000000,
2026-07-20T16:08:19+00:00,1784563199999,BTC,8h,short_created,short,65598.75,65107.99,63765.83,S1784534399999,1d
2026-07-20T16:08:20+00:00,1784563199999,BNB,1h,short_created,short,573.91,569.93,566.16,S1784555999999,
2026-07-20T16:08:21+00:00,1784563199999,TRX,1h,long_created,long,0.3258,0.3268,0.3258,L1784545199999,
2026-07-20T16:08:23+00:00,1784559600000,Microsoft,1h,long_created,long,399.49,393.51,389.26,L1784556000000,
2026-07-20T16:08:25+00:00,1784563200000,Microsoft,4h,long_created,long,399.49,395.56,394.25,L1784534400000,
2026-07-20T16:08:25+00:00,1784563200000,Microsoft,8h,long_created,long,399.49,397.93,396.18,L1784505600000,
2026-07-20T18:15:40+00:00,1784570399999,DOGE,1h,short_created,short,0.07312,0.07359,0.07298,S1784566799999,
2026-07-20T18:15:40+00:00,1784566799999,LINK,1h,short_created,short,8.579,8.478,8.348,S1784555999999,
2026-07-20T18:15:41+00:00,1784566800000,Nvidia,1h,short_created,short,204.54,206.63,204.79,S1784559600000,
2026-07-20T21:06:55+00:00,1784577599999,LINK,4h,short_created,short,8.559,8.472,8.289,S1784534399999,
2026-07-20T21:06:56+00:00,1784577599999,ADA,1h,short_created,short,0.1699,0.1675,0.1653,S1784566799999,
2026-07-20T21:06:57+00:00,1784577599999,ADA,4h,short_created,short,0.1678,0.1656,0.1607,S1784534399999,
2026-07-20T21:06:57+00:00,1784577599999,SUI,4h,short_created,short,0.7676,0.7506,0.7396,S1784534399999,
2026-07-20T21:06:58+00:00,1784577600000,Silber,1h,long_created,long,56.5,57.24,56.76,L1784563200000,
2026-07-20T21:06:59+00:00,1784577600000,Nvidia,1h,long_created,long,202.94,204.8,203.29,L1784570400000,
2026-07-21T00:08:24+00:00,1784591999999,LINK,8h,short_created,short,8.593,8.536,8.289,S1784534399999,
2026-07-21T00:08:25+00:00,1784591999999,SUI,8h,short_created,short,0.7648,0.7588,0.7396,S1784534399999,
2026-07-21T03:38:15+00:00,1784602799999,XRP,1h,short_created,short,1.1191,1.1203,1.1136,S1784599199999,
2026-07-21T03:38:16+00:00,1784599199999,ETH,1h,short_created,short,1917.3,1902.58,1894.4,S1784588399999,
2026-07-21T03:38:17+00:00,1784602799999,AVAX,1h,short_created,short,6.628,6.587,6.551,S1784588399999,
2026-07-21T03:38:18+00:00,1784602800000,Gold,1h,short_created,short,4042.79,4040.03,4023.45,S1784599200000,
2026-07-21T06:15:17+00:00,1784613599999,BTC,1h,short_created,short,65751.56,65742.58,65471.69,S1784609999999,
2026-07-21T06:15:17+00:00,1784609999999,BNB,1h,short_created,short,574.94,574.12,572.02,S1784599199999,
2026-07-21T06:15:18+00:00,1784606399999,SOL,1h,short_created,short,78.45,78.22,77.83,S1784599199999,
2026-07-21T06:15:19+00:00,1784606399999,LINK,1h,short_created,short,8.728,8.637,8.592,S1784599199999,
2026-07-21T06:15:19+00:00,1784606399999,AVAX,4h,short_created,short,6.642,6.628,6.546,S1784577599999,
2026-07-21T06:15:20+00:00,1784613599999,SUI,1h,short_created,short,0.7736,0.7711,0.7642,S1784599199999,
2026-07-21T06:15:21+00:00,1784610000000,HYPE,1h,short_created,short,63.02,62.635,62.277,S1784599200000,
2026-07-21T08:46:20+00:00,1784617199999,XLM,1h,short_created,short,0.192,0.1892,0.1872,S1784599199999,
2026-07-21T08:46:21+00:00,1784620800000,Microsoft,1h,long_created,long,400.19,402.3,401.41,L1784602800000,
2026-07-21T10:50:39+00:00,1784624399999,DOGE,1h,short_created,short,0.07348,0.07289,0.07253,S1784609999999,
2026-07-21T12:14:43+00:00,1784635199999,ETH,4h,short_created,short,1935.69,1918.16,1890.07,S1784577599999,
2026-07-21T12:14:44+00:00,1784635199999,XLM,4h,short_created,short,0.192,0.1903,0.1873,S1784577599999,
2026-07-21T12:14:45+00:00,1784635200000,Microsoft,4h,short_created,short,398.69,402.14,399.9,S1784620800000,
2026-07-21T12:14:46+00:00,1784635200000,Microsoft,4h,short_entry,short,398.69,402.14,399.9,S1784620800000,
2026-07-21T14:22:14+00:00,1784642400000,Apple,1h,long_created,long,324.22,325.42,324.57,L1784638800000,
2026-07-21T14:22:15+00:00,1784638800000,Take-Two,1h,long_created,long,237.59,240.59,239.8,L1784628000000,
2026-07-21T14:22:16+00:00,1784642400000,Nvidia,1h,short_created,short,205.67,206.01,205.56,S1784631600000,
2026-07-21T17:11:46+00:00,1784649599999,ETH,8h,short_created,short,1931.81,1891.71,1843.14,S1784534399999,
2026-07-21T17:11:46+00:00,1784649599999,AVAX,8h,short_created,short,6.62,6.628,6.546,S1784591999999,
2026-07-21T17:11:47+00:00,1784649600000,Nvidia,4h,short_created,short,205.92,203.53,202.4,S1784592000000,
2026-07-21T17:11:49+00:00,1784649600000,SpaceX,4h,short_created,short,128.27,122.45,121.08,S1784635200000,
2026-07-21T17:11:50+00:00,1784649600000,Rohoel,4h,short_created,short,84.48,83.02,81.82,S1784620800000,
2026-07-21T17:11:50+00:00,1784653200000,Monero,1h,short_created,short,347.15,348.98,347.2,S1784646000000,
2026-07-21T17:11:51+00:00,1784649600000,Rohoel,8h,short_created,short,84.48,83.02,81.82,S1784620800000,
2026-07-21T20:04:55+00:00,1784663999999,NEAR,4h,short_created,short,1.935,2.002,1.948,S1784649599999,
2026-07-21T20:04:56+00:00,1784663999999,NEAR,4h,short_entry,short,1.935,2.002,1.948,S1784649599999,
2026-07-21T20:04:56+00:00,1784660400000,Gold,1h,short_created,short,4089.14,4077.47,4071.67,S1784656800000,
2026-07-21T20:04:57+00:00,1784664000000,Take-Two,4h,long_created,long,236.44,240.67,239.4,L1784620800000,
2026-07-21T20:04:58+00:00,1784660400000,SpaceX,1h,short_created,short,123.49,129.13,127.54,S1784656800000,
2026-07-21T20:04:59+00:00,1784660400000,SpaceX,1h,short_entry,short,123.49,129.13,127.54,S1784656800000,
2026-07-21T21:21:35+00:00,1784667600000,Apple,1h,short_created,short,325.44,328.58,327.62,S1784664000000,
2026-07-21T21:21:36+00:00,1784667600000,Apple,1h,short_entry,short,325.44,328.58,327.62,S1784664000000,
2026-07-21T21:21:37+00:00,1784667600000,Google,1h,long_created,long,348.12,350.39,349.32,L1784653200000,
2026-07-21T22:15:25+00:00,1784671200000,Microsoft,1h,long_created,long,397.21,400.12,398.66,L1784656800000,
2026-07-21T23:12:56+00:00,1784674800000,Amazon,1h,long_created,long,246.98,248.9,248.12,L1784656800000,
2026-07-22T00:06:06+00:00,1784678399999,ETH,1d,short_created,short,1930.09,1871.08,1803.05,S1784332799999,
2026-07-22T00:06:06+00:00,1784678399999,BNB,1h,long_created,long,573.95,573.99,572.6,L1784671199999,
2026-07-22T00:06:07+00:00,1784678399999,XLM,8h,short_created,short,0.1922,0.1903,0.1873,S1784591999999,
2026-07-22T00:06:08+00:00,1784678400000,Amazon,4h,long_created,long,247.02,251.16,250.29,L1784620800000,
2026-07-22T00:06:08+00:00,1784678400000,Take-Two,1h,long_created,long,235.82,237.44,236.31,L1784656800000,
2026-07-22T03:36:50+00:00,1784681999999,DOGE,1h,short_created,short,0.07345,0.07339,0.07305,S1784674799999,
2026-07-22T03:36:51+00:00,1784681999999,AVAX,1h,long_created,long,6.595,6.573,6.524,L1784678399999,
2026-07-22T03:36:51+00:00,1784681999999,AVAX,1h,long_entry,long,6.595,6.573,6.524,L1784678399999,
2026-07-22T06:13:15+00:00,1784699999999,SOL,1h,long_created,long,77.43,78.23,77.83,L1784696399999,
2026-07-22T06:13:30+00:00,1784696399999,LINK,1h,short_created,short,8.632,8.716,8.677,S1784692799999,
2026-07-22T06:13:31+00:00,1784696399999,NEAR,1h,long_created,long,1.908,1.954,1.933,L1784681999999,
2026-07-22T08:44:05+00:00,1784703599999,ETH,1h,long_created,long,1914.44,1939.4,1928.11,L1784696399999,
2026-07-22T08:44:06+00:00,1784707200000,Gold,8h,short_created,short,4113.53,4023.49,4005.31,S1784592000000,
2026-07-22T08:44:07+00:00,1784707200000,HYPE,8h,long_created,long,58.529,63.417,62.25,L1784620800000,
2026-07-22T10:51:23+00:00,1784710799999,LINK,1h,long_created,long,8.618,8.747,8.683,L1784696399999,
2026-07-22T12:17:28+00:00,1784717999999,XRP,1h,long_created,long,1.1387,1.1366,1.1325,L1784714399999,
2026-07-22T12:17:29+00:00,1784721599999,TRX,1h,short_created,short,0.33,0.329,0.3288,S1784703599999,
2026-07-22T12:17:29+00:00,1784717999999,SUI,1h,long_created,long,0.7602,0.7608,0.7577,L1784714399999,
2026-07-22T14:25:58+00:00,1784725200000,Apple,1h,short_created,short,325.93,327.72,326.78,S1784714400000,
2026-07-22T14:25:59+00:00,1784728800000,Google,1h,long_created,long,348.59,350.07,349.39,L1784714400000,
2026-07-22T14:26:00+00:00,1784728800000,SpaceX,1h,long_created,long,123.84,124.62,123.67,L1784710800000,
2026-07-22T14:26:00+00:00,1784725200000,Nvidia,1h,long_created,long,207.78,206.02,205.37,L1784718000000,
2026-07-22T14:26:01+00:00,1784728800000,Nvidia,1h,short_created,short,207.78,206.09,204.94,S1784721600000,
2026-07-22T15:56:48+00:00,1784732399999,ETH,1h,short_created,short,1933.2,1927.45,1913.26,S1784725199999,
2026-07-22T15:56:49+00:00,1784732399999,LINK,1h,short_created,short,8.653,8.644,8.575,S1784725199999,
2026-07-22T17:09:56+00:00,1784735999999,ETH,4h,short_created,short,1943.03,1939.4,1910.68,S1784707199999,
2026-07-22T17:09:57+00:00,1784739599999,BTC,1h,long_created,long,66229.01,66125.0,65793.98,L1784735999999,
2026-07-22T17:09:58+00:00,1784735999999,SOL,1h,short_created,short,78.58,77.57,77.02,S1784725199999,
2026-07-22T17:09:58+00:00,1784735999999,NEAR,8h,long_created,long,1.89,2.066,1.972,L1784620799999,
2026-07-22T17:09:59+00:00,1784736000000,Silber,8h,short_created,short,60.33,59.18,58.74,S1784678400000,
2026-07-22T17:10:00+00:00,1784736000000,Microsoft,4h,long_created,long,389.97,400.49,398.55,L1784721600000,
2026-07-22T17:10:00+00:00,1784739600000,HYPE,1h,long_created,long,58.221,58.945,58.119,L1784728800000,
2026-07-22T17:10:01+00:00,1784736000000,Microsoft,8h,long_created,long,389.97,400.43,395.95,L1784707200000,
2026-07-22T18:20:39+00:00,1784743199999,SUI,1h,short_created,short,0.7703,0.7603,0.7564,S1784725199999,
2026-07-22T18:20:40+00:00,1784743199999,TRX,1h,long_created,long,0.3288,0.3287,0.3282,L1784739599999,
2026-07-22T18:20:41+00:00,1784743199999,TRX,1h,long_entry,long,0.3288,0.3287,0.3282,L1784739599999,
2026-07-22T18:20:42+00:00,1784743200000,Silber,1h,short_created,short,60.05,60.37,59.98,S1784739600000,
2026-07-22T18:20:43+00:00,1784743200000,Silber,1h,short_entry,short,60.05,60.37,59.98,S1784739600000,
2026-07-22T18:20:44+00:00,1784743200000,HYPE,1h,short_created,short,59.004,58.819,58.011,S1784736000000,
2026-07-22T19:49:09+00:00,1784746800000,Apple,1h,long_created,long,324.36,327.59,326.64,L1784721600000,
2026-07-22T19:49:10+00:00,1784746800000,Gold,1h,short_created,short,4139.66,4150.86,4141.81,S1784743200000,
2026-07-22T19:49:10+00:00,1784746800000,Gold,1h,short_entry,short,4139.66,4150.86,4141.81,S1784743200000,
2026-07-22T20:48:32+00:00,1784750399999,ADA,4h,short_created,short,0.1746,0.1744,0.1704,S1784707199999,
2026-07-22T20:48:33+00:00,1784750399999,ADA,1h,short_created,short,0.1746,0.1784,0.1755,S1784746799999,
2026-07-22T20:48:34+00:00,1784750399999,ADA,1h,short_entry,short,0.1746,0.1784,0.1755,S1784746799999,
2026-07-22T20:48:36+00:00,1784750399999,SUI,4h,short_created,short,0.7662,0.7676,0.7527,S1784707199999,
2026-07-22T21:52:48+00:00,1784753999999,NEAR,1h,long_created,long,1.871,1.901,1.881,L1784739599999,
2026-07-22T21:52:49+00:00,1784754000000,Google,1h,short_created,short,329.61,346.67,342.21,S1784750400000,
2026-07-22T22:44:27+00:00,1784757599999,XLM,1h,long_created,long,0.1884,0.1923,0.1897,L1784739599999,
2026-07-23T01:11:20+00:00,1784764800000,Nvidia,8h,short_created,short,212.11,206.87,204.85,S1784707200000,
2026-07-23T01:11:20+00:00,1784764800000,Nvidia,1d,short_created,short,212.11,207.79,202.4,S1784592000000,
2026-07-23T01:11:21+00:00,1784764800000,SpaceX,1d,long_created,long,116.19,129.81,120.13,L1784678400000,
2026-07-23T04:31:09+00:00,1784775599999,XRP,1h,long_created,long,1.1338,1.1426,1.138,L1784757599999,
2026-07-23T04:31:10+00:00,1784779199999,DOGE,1h,long_created,long,0.07236,0.07309,0.0728,L1784761199999,
2026-07-23T07:07:10+00:00,1784786399999,ETH,1h,long_created,long,1925.39,1939.7,1926.76,L1784757599999,
2026-07-23T07:07:11+00:00,1784790000000,Rohoel,1h,short_created,short,88.6,88.43,87.89,S1784782800000,
2026-07-23T09:32:11+00:00,1784797199999,BTC,1h,long_created,long,65633.0,65821.17,65625.2,L1784789999999,
2026-07-23T09:32:12+00:00,1784793599999,BNB,1h,long_created,long,570.49,570.58,569.34,L1784789999999,
2026-07-23T09:32:13+00:00,1784797199999,SOL,1h,long_created,long,77.47,77.59,77.37,L1784789999999,
2026-07-23T09:32:14+00:00,1784797199999,ADA,1h,long_created,long,0.1739,0.1755,0.1737,L1784782799999,
2026-07-23T09:32:15+00:00,1784797200000,Microsoft,1h,long_created,long,386.73,389.72,389.03,L1784786400000,
2026-07-23T09:32:22+00:00,1784793600000,Nvidia,1h,long_created,long,211.74,212.47,211.31,L1784782800000,
2026-07-23T09:32:25+00:00,1784797200000,Take-Two,1h,short_created,short,234.44,233.85,233.09,S1784793600000,
2026-07-23T11:26:04+00:00,1784804399999,TRX,1h,long_created,long,0.3283,0.3292,0.3289,L1784789999999,
2026-07-23T11:26:05+00:00,1784800800000,Amazon,1h,long_created,long,240.94,243.0,242.56,L1784772000000,
2026-07-23T11:26:05+00:00,1784804400000,Monero,1h,short_created,short,353.24,353.0,350.55,S1784793600000,
2026-07-23T12:55:28+00:00,1784807999999,XLM,4h,long_created,long,0.1848,0.1885,0.1857,L1784764799999,
2026-07-23T12:55:30+00:00,1784808000000,Google,1h,long_created,long,325.65,333.83,332.48,L1784790000000,
2026-07-23T15:01:12+00:00,1784811599999,SUI,1h,long_created,long,0.7505,0.7755,0.7694,L1784797199999,
2026-07-23T15:01:13+00:00,1784811599999,NEAR,1h,short_created,short,1.883,1.876,1.858,S1784793599999,
2026-07-23T15:01:14+00:00,1784815200000,Microsoft,1h,short_created,short,379.84,389.57,387.62,S1784811600000,
2026-07-23T15:01:14+00:00,1784811600000,Monero,1h,long_created,long,350.67,357.44,353.77,L1784800800000,
2026-07-23T16:39:39+00:00,1784822399999,BNB,4h,long_created,long,567.66,571.51,568.91,L1784807999999,
2026-07-23T16:39:40+00:00,1784822399999,ADA,4h,long_created,long,0.1705,0.1759,0.1726,L1784807999999,
2026-07-23T16:39:41+00:00,1784822399999,TRX,8h,short_created,short,0.3266,0.3305,0.328,S1784735999999,
2026-07-23T16:39:41+00:00,1784822399999,TRX,8h,short_entry,short,0.3266,0.3305,0.328,S1784735999999,
2026-07-23T16:39:42+00:00,1784822399999,XLM,8h,long_created,long,0.1825,0.1917,0.1881,L1784735999999,
2026-07-23T16:39:43+00:00,1784822400000,SpaceX,1h,long_created,long,114.77,116.95,116.33,L1784804400000,
2026-07-23T19:15:53+00:00,1784833200000,HYPE,1h,long_created,long,58.385,59.985,58.914,L1784818800000,
2026-07-23T21:37:02+00:00,1784840400000,Monero,1h,short_created,short,356.9,350.74,345.36,S1784811600000,
2026-07-23T22:34:24+00:00,1784844000000,SpaceX,1h,short_created,short,116.66,119.09,117.16,S1784840400000,
2026-07-23T22:34:25+00:00,1784844000000,SpaceX,1h,short_entry,short,116.66,119.09,117.16,S1784840400000,
2026-07-24T00:57:17+00:00,1784851199999,XRP,1d,short_created,short,1.1077,1.1574,1.1288,S1784764799999,
2026-07-24T00:57:17+00:00,1784851199999,ADA,8h,short_created,short,0.1685,0.1759,0.1681,S1784822399999,
2026-07-24T00:57:18+00:00,1784851199999,ADA,8h,short_entry,short,0.1685,0.1759,0.1681,S1784822399999,
2026-07-24T00:57:19+00:00,1784851200000,HYPE,4h,long_created,long,57.459,60.034,58.808,L1784822400000,
2026-07-24T04:10:24+00:00,1784861999999,SOL,1h,long_created,long,75.83,76.25,75.86,L1784847599999,
2026-07-24T04:10:34+00:00,1784858400000,Gold,1h,long_created,long,4034.22,4055.71,4045.62,L1784854800000,
2026-07-24T06:37:30+00:00,1784869199999,BNB,1h,short_created,short,567.64,568.43,566.56,S1784861999999,
2026-07-24T06:37:31+00:00,1784869199999,NEAR,1h,short_created,short,1.902,1.9,1.876,S1784861999999,
2026-07-24T09:07:27+00:00,1784876399999,XRP,1h,short_created,short,1.1118,1.1116,1.1062,S1784869199999,
2026-07-24T09:07:28+00:00,1784879999999,ADA,1h,long_created,long,0.1679,0.1673,0.1665,L1784876399999,
2026-07-24T09:07:29+00:00,1784879999999,ADA,1h,long_entry,long,0.1679,0.1673,0.1665,L1784876399999,
2026-07-24T09:07:29+00:00,1784876399999,XLM,1h,short_created,short,0.1837,0.1827,0.1816,S1784861999999,
2026-07-24T09:07:30+00:00,1784880000000,Take-Two,8h,long_created,long,232.92,231.48,229.5,L1784851200000,
2026-07-24T09:07:31+00:00,1784883600000,Monero,1h,short_created,short,357.08,358.0,355.59,S1784876400000,
2026-07-24T09:07:31+00:00,1784883600000,Monero,1h,long_created,long,357.08,360.0,355.27,L1784880000000,
